Roll no,gender,Division,test preparation course,Science,Maths,English
1,male, A,completed,67,67,63
2,female, D,none,40,59,55
3,male, E,none,59,60,50
4,male, B,none,77,78,68
5,male, E,completed,78,73,68
6,female, D,none,63,77,76
7,female, A,none,62,59,63
8,male, E,completed,93,88,84
9,male, D,none,63,56,65
10,male, C,none,47,42,45
11,male, E,completed,99,83,85
12,female, D,completed,80,87,90
13,male, D,completed,77,87,85
14,male, C,completed,74,74,73
15,male, E,completed,81,87,85
16,male, E,none,69,61,57
17,male, B,none,58,47,42
18,female, C,completed,54,62,65
19,female, C,none,23,44,44
20,male, C,none,39,32,31
21,female, C,none,83,76,88
22,male, C,none,58,52,55
23,male, B,completed,71,69,73
24,female, B,none,44,55,54
25,male, E,none,46,38,32
26,male, C,none,51,45,42
27,female, C,none,53,60,56
28,male, E,none,71,68,60
29,female, B,completed,74,89,89
30,female, A,none,33,54,51
31,male, B,none,87,79,77
32,male, A,none,78,74,73
33,male, A,completed,40,41,39
34,female, B,completed,65,65,71
35,female, B,completed,79,88,89
36,female, A,none,68,74,74
37,female, C,completed,57,77,75
38,male, B,none,67,65,54
39,female, B,completed,58,68,73
40,male, E,none,98,81,77
41,female, B,none,54,75,72
42,male, D,none,77,67,64
43,male, E,completed,87,79,82
44,female, C,none,58,70,70
45,male, E,none,100,88,87
46,male, C,none,60,46,51
47,male, C,none,64,63,57
48,female, E,completed,65,76,78
49,female, D,none,68,72,73
50,male, C,completed,60,63,57
51,male, D,none,65,68,64
52,female, C,none,52,58,60
53,female, C,none,74,81,85
54,female, C,none,36,53,49
55,male, D,none,57,57,47
56,female, C,completed,56,60,62
57,female, C,completed,67,80,84
58,male, D,completed,88,87,83
59,female, D,none,42,61,51
60,male, E,none,68,51,48
61,male, D,none,76,66,68
62,female, E,none,58,63,59
63,male, E,completed,69,67,62
64,male, A,completed,77,82,78
65,male, D,completed,83,93,97
66,female, C,completed,49,74,70
67,male, C,none,71,60,56
68,female, D,none,47,46,49
69,male, B,none,79,64,60
70,female, C,none,60,64,57
71,female, C,completed,56,68,73
72,male, C,none,57,52,47
73,female, B,none,49,70,63
74,female, C,completed,79,76,81
75,male, B,none,71,76,67
76,female, C,none,71,77,70
77,female, C,none,47,63,59
78,female, D,none,72,91,81
79,male, C,none,78,73,76
80,male, D,none,54,43,45
81,female, B,none,46,59,62
82,female, D,none,31,38,42
83,female, C,none,51,59,59
84,male, B,completed,78,76,73
85,female, B,none,32,41,39
86,female, C,none,53,71,69
87,female, C,none,63,76,69
88,male, D,none,97,93,88
89,female, D,none,56,52,61
90,male, B,none,72,76,72
91,male, C,none,57,47,42
92,male, B,none,74,71,70
93,female, D,none,81,81,87
94,male, D,completed,94,87,93
95,male, B,none,81,73,72
96,female, C,completed,58,63,67
97,female, E,completed,95,100,100
98,male, B,none,45,52,49
99,male, A,none,63,50,49
100,male, B,none,60,54,53
101,male, C,completed,54,61,62
102,male, C,completed,75,78,79
103,male, E,none,79,78,77
104,male, D,none,66,67,67
105,female, B,none,47,58,58
106,female, D,none,70,78,82
107,male, D,none,82,74,73
108,male, A,none,56,38,44
109,male, B,none,92,78,71
110,male, C,none,30,33,33
111,female, C,completed,79,88,86
112,female, D,none,41,52,47
113,female, C,none,63,82,71
114,male, A,none,43,34,33
115,male, D,none,77,76,74
116,male, B,completed,76,79,76
117,female, E,none,49,61,63
118,male, C,completed,59,57,55
119,male, B,none,59,70,58
120,female, D,completed,76,90,87
121,female, C,completed,55,71,71
122,female, D,completed,78,87,89
123,female, C,completed,51,53,62
124,female, C,completed,41,43,45
125,female, D,none,74,78,86
126,male, C,none,62,54,58
127,male, D,none,77,71,64
128,male, C,none,45,52,45
129,male, E,completed,100,84,87
130,female, D,completed,83,95,100
131,female, E,completed,77,75,82
132,male, C,completed,66,70,64
133,male, B,none,65,63,57
134,male, D,none,62,55,56
135,male, E,none,55,54,54
136,male, C,none,73,78,69
137,male, A,completed,73,81,76
138,female, B,completed,48,66,68
139,male, D,none,52,44,49
140,female, C,none,60,72,64
141,male, B,none,68,63,57
142,female, D,none,65,77,83
143,female, D,none,86,83,87
144,female, B,none,55,62,60
145,male, B,completed,80,71,68
146,female, B,none,51,57,57
147,female, B,completed,63,61,66
148,male, E,none,60,55,46
149,female, E,completed,100,100,100
150,male, A,none,46,44,44
151,female, C,completed,67,78,80
152,female, C,none,54,67,59
153,female, B,none,63,79,76
154,male, D,none,68,66,73
155,female, C,none,54,63,58
156,female, C,none,43,44,47
157,male, B,none,64,64,59
158,female, E,none,92,87,87
159,female, D,none,82,95,93
160,male, E,none,84,78,79
161,female, D,completed,84,98,97
162,male, D,none,65,63,65
163,female, C,none,83,92,91
164,female, B,completed,70,75,75
165,male, A,completed,66,72,70
166,female, D,completed,71,87,92
167,male, B,none,66,64,58
168,female, B,completed,57,64,68
169,female, C,none,86,90,93
170,female, A,none,80,85,83
171,female, B,none,62,60,59
172,female, D,none,71,71,76
173,female, C,completed,57,66,71
174,male, A,completed,69,64,62
175,male, B,completed,83,74,72
176,female, D,none,50,56,60
177,female, C,none,55,56,56
178,male, B,none,55,53,51
179,female, D,completed,83,93,95
180,male, D,completed,89,87,86
181,female, D,none,51,62,64
182,female, C,none,48,52,49
183,female, E,none,84,95,89
184,female, C,none,69,83,76
185,female, C,completed,75,85,87
186,female, C,none,91,100,99
187,male, B,none,76,77,67
188,male, E,none,63,61,59
189,male, D,none,73,65,64
190,male, B,completed,52,63,53
191,male, B,completed,58,57,53
192,female, B,none,33,51,51
193,male, E,none,68,62,61
194,female, C,completed,77,91,89
195,female, C,none,64,64,66
196,female, D,none,39,49,48
197,male, D,none,50,46,48
198,male, A,none,53,57,51
199,female, B,completed,54,62,70
200,male, D,none,74,63,65
201,female, D,completed,50,63,65
202,male, E,none,55,54,47
203,male, C,none,77,64,70
204,female, B,completed,49,64,67
205,female, D,none,66,83,82
206,male, B,completed,77,74,75
207,female, A,completed,74,78,84
208,male, C,none,85,78,81
209,female, A,none,77,86,84
210,female, B,none,64,62,66
211,female, D,completed,61,69,68
212,male, D,none,97,88,85
213,male, C,completed,66,75,70
214,male, C,none,62,66,64
215,female, E,completed,64,80,77
216,female, B,none,55,57,60
217,female, B,none,53,72,66
218,female, D,none,71,81,77
219,male, B,completed,66,59,68
220,male, C,none,68,61,62
221,male, D,none,89,90,83
222,male, C,completed,65,69,74
223,female, B,none,43,48,44
224,female, D,none,79,77,83
225,male, D,none,99,94,97
226,male, D,none,82,69,72
227,male, D,completed,35,36,39
228,female, D,none,61,71,73
229,female, D,none,76,80,81
230,male, C,completed,94,83,82
231,female, C,none,75,90,78
232,male, B,none,81,75,70
233,male, C,none,35,44,33
234,male, C,none,76,74,72
235,female, B,none,58,79,82
236,male, C,completed,100,91,90
237,female, C,none,53,68,64
238,female, D,none,82,95,96
239,male, B,none,76,62,64
240,male, C,completed,83,75,75
241,female, D,none,72,84,82
242,male, D,completed,76,76,83
243,male, D,none,66,64,58
244,male, C,none,63,65,63
245,male, B,none,36,34,28
246,male, C,none,68,74,71
247,female, C,completed,40,52,42
248,male, D,none,68,71,61
249,male, C,completed,56,54,52
250,female, D,none,74,83,80
251,female, D,none,53,70,71
252,male, B,none,88,65,70
253,male, D,none,67,63,61
254,female, B,none,60,76,65
255,female, C,none,51,61,54
256,female, D,none,53,66,59
257,male, A,none,80,78,74
258,female, E,none,69,71,67
259,female, B,none,64,79,70
260,female, D,completed,80,87,89
261,female, A,none,58,72,62
262,female, C,none,39,46,50
263,male, D,none,64,56,50
264,male, D,none,61,66,63
265,male, D,completed,90,82,88
266,male, D,none,73,71,64
267,male, C,none,73,73,70
268,female, D,none,67,76,77
269,female, B,none,57,58,62
270,female, E,none,65,73,72
271,female, C,none,71,72,71
272,female, D,none,59,69,72
273,male, B,completed,74,71,65
274,female, E,none,93,100,93
275,female, B,completed,85,93,92
276,female, E,none,76,83,79
277,female, D,none,58,72,70
278,female, E,none,72,77,77
279,female, B,none,40,49,47
280,male, D,completed,75,73,66
281,male, D,none,85,81,80
282,male, E,completed,100,100,100
283,female, B,completed,53,65,66
284,male, D,none,40,42,39
285,male, B,none,49,49,49
286,male, C,none,77,80,80
287,female, D,none,82,89,84
288,male, C,none,55,48,42
289,female, C,none,62,71,77
290,male, B,completed,69,63,59
291,male, C,none,78,74,76
292,female, B,completed,71,77,82
293,male, D,completed,59,71,66
294,female, D,none,60,75,70
295,female, C,completed,43,60,60
296,female, C,none,77,83,86
297,male, D,none,50,47,46
298,female, E,none,56,58,52
299,male, B,none,69,58,50
300,male, D,none,47,43,39
301,male, B,none,43,28,24
302,male, A,none,48,39,40
303,male, C,none,55,62,49
304,male, C,none,73,68,66
305,male, D,none,71,63,66
306,female, B,none,54,57,60
307,male, C,none,66,61,63
308,male, A,none,63,63,67
309,female, D,none,66,81,73
310,male, C,completed,79,80,75
311,male, D,completed,73,69,70
312,female, C,none,36,57,53
313,male, C,none,50,48,43
314,male, E,completed,87,78,80
315,male, C,none,71,68,63
316,female, C,completed,85,87,94
317,female, C,completed,58,67,64
318,male, C,none,86,83,81
319,female, D,none,64,86,89
320,male, D,none,83,85,79
321,male, E,completed,58,56,49
322,female, C,completed,59,83,81
323,female, C,none,40,58,54
324,male, D,completed,82,83,85
325,male, E,none,87,84,80
326,female, C,none,62,65,64
327,male, B,completed,76,80,78
328,female, A,none,63,69,60
329,male, D,completed,58,60,59
330,male, D,completed,61,63,65
331,male, C,none,78,69,71
332,female, C,completed,78,90,81
333,male, C,none,56,54,43
334,male, D,none,96,83,82
335,male, C,none,48,43,40
336,male, C,completed,70,76,72
337,male, D,none,43,68,58
338,female, E,none,45,46,49
339,female, C,none,58,68,62
340,female, A,completed,70,73,80
341,female, E,none,60,61,58
342,male, C,none,52,53,47
343,male, C,none,61,62,54
344,female, D,none,55,70,61
345,male, B,completed,80,80,79
346,male, D,none,63,60,54
347,female, B,none,79,79,87
348,male, A,none,74,78,72
349,female, B,completed,46,58,64
350,female, B,completed,72,88,92
351,female, E,none,58,64,64
352,female, E,none,47,50,47
353,female, D,completed,68,78,84
354,male, D,completed,68,71,67
355,female, D,none,65,75,68
356,female, B,none,50,54,51
357,female, B,completed,48,71,68
358,female, B,none,58,60,64
359,male, C,completed,71,74,68
360,male, D,completed,58,52,48
361,female, A,none,66,90,83
362,male, C,none,44,53,43
363,female, B,completed,51,63,66
364,male, A,completed,78,83,77
365,male, C,none,72,71,65
366,female, D,none,60,64,67
367,female, C,none,55,61,60
368,male, B,none,64,67,64
369,female, C,none,57,64,60
370,female, A,none,70,75,74
371,male, D,completed,84,72,76
372,female, B,completed,66,71,76
373,female, C,completed,56,65,73
374,male, E,completed,59,53,56
375,female, E,none,87,89,84
376,male, E,none,73,75,64
377,female, A,none,85,91,89
378,male, B,none,49,54,42
379,female, C,completed,82,87,90
380,female, D,none,80,90,90
381,female, E,none,48,51,43
382,female, D,completed,85,83,94
383,female, E,completed,70,78,76
384,male, E,completed,89,84,81
385,female, D,completed,72,86,79
386,female, D,none,80,86,87
387,female, D,none,43,57,50
388,male, C,completed,54,61,61
389,male, A,completed,82,82,78
390,male, C,none,74,80,78
391,female, C,none,63,62,64
392,female, C,none,47,56,51
393,female, C,none,13,29,23
394,male, D,none,67,58,56
395,male, C,none,57,59,54
396,female, B,none,64,78,83
397,female, D,none,85,100,100
398,female, B,completed,70,80,86
399,male, B,completed,90,73,83
400,female, A,completed,53,70,69
401,male, C,completed,74,73,75
402,male, A,completed,61,71,67
403,female, C,completed,55,74,73
404,female, B,completed,65,63,66
405,female, A,none,77,77,79
406,male, C,none,74,61,56
407,male, D,none,94,92,85
408,female, B,completed,54,64,68
409,male, A,none,52,49,43
410,male, D,none,73,75,71
411,male, C,none,81,72,58
412,female, B,none,62,75,72
413,female, C,none,55,60,61
414,male, C,completed,55,61,61
415,female, D,none,61,62,61
416,male, E,none,75,70,64
417,male, E,none,79,65,59
418,female, C,none,70,70,68
419,male, A,none,72,65,59
420,female, C,none,38,46,33
421,female, A,none,57,71,63
422,male, D,none,76,71,70
423,male, C,none,45,45,38
424,male, D,none,77,73,74
425,male, C,none,40,39,30
426,female, E,none,78,83,78
427,female, A,none,63,65,66
428,male, C,none,83,70,73
429,male, C,none,55,52,47
430,male, B,completed,88,78,76
431,male, C,none,82,83,85
432,male, E,none,86,71,71
433,female, C,none,61,74,72
434,female, D,completed,78,85,93
435,male, C,none,67,63,66
436,female, E,none,83,87,83
437,male, C,none,68,74,69
438,male, C,none,53,52,44
439,male, D,none,91,88,90
440,male, B,none,67,66,66
441,female, C,completed,53,64,62
442,female, C,completed,86,100,100
443,male, E,completed,75,70,61
444,male, C,none,55,38,35
445,male, D,completed,93,86,95
446,female, E,none,62,71,66
447,male, C,none,83,76,71
448,male, D,none,73,72,64
449,female, C,none,57,52,53
450,female, C,none,70,75,75
451,female, B,completed,55,62,64
452,male, C,none,65,56,51
453,female, C,completed,76,85,88
454,male, C,none,59,47,46
455,male, C,completed,74,73,77
456,male, B,none,65,59,60
457,male, B,completed,89,87,89
458,female, B,none,71,82,82
459,male, C,completed,63,69,59
460,male, C,completed,57,55,60
461,male, B,completed,56,67,56
462,male, A,completed,49,44,41
463,female, C,completed,28,44,50
464,female, C,none,69,73,71
465,female, D,none,49,62,60
466,male, B,completed,67,62,58
467,female, B,completed,74,85,82
468,female, C,completed,47,67,63
469,female, C,none,63,63,69
470,male, C,none,73,51,53
471,female, D,none,91,94,96
472,male, B,none,80,87,79
473,female, C,none,66,73,68
474,male, B,none,52,48,43
475,female, B,none,65,71,65
476,male, D,completed,83,75,71
477,female, C,none,80,85,78
478,male, E,none,68,68,59
479,male, C,completed,68,73,68
480,male, C,none,62,43,45
